STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
06,001,Alameda,California,1510271,37.705201,-122.100393
06,003,Alpine,California,1175,38.728298,-119.847603
06,005,Amador,California,38091,38.394208,-120.775729
06,007,Butte,California,220000,39.669037,-121.707635
06,009,Calaveras,California,45578,38.163627,-120.633718
06,011,Colusa,California,21419,39.156148,-122.085557
06,013,Contra Costa,California,1049025,37.935588,-122.030131
06,015,Del Norte,California,28610,41.791232,-124.163088
06,017,El Dorado,California,181058,38.746543,-120.744330
06,019,Fresno,California,930450,36.738918,-119.767884
06,021,Glenn,California,28122,39.663418,-122.177491
06,023,Humboldt,California,134623,40.752982,-124.087189
06,025,Imperial,California,174528,32.841101,-115.534487
06,027,Inyo,California,18546,37.160247,-118.267513
06,029,Kern,California,839631,35.372968,-118.936004
06,031,Kings,California,152982,36.242749,-119.729084
06,033,Lake,California,64665,38.973362,-122.734609
06,035,Lassen,California,34895,40.392397,-120.579176
06,037,Los Angeles,California,9818605,34.065193,-118.244222
06,039,Madera,California,150865,37.043099,-120.006750
06,041,Marin,California,252409,37.986705,-122.547075
06,043,Mariposa,California,18251,37.542748,-119.957219
06,045,Mendocino,California,87841,39.285329,-123.397227
06,047,Merced,California,255793,37.281016,-120.623989
06,049,Modoc,California,9686,41.522584,-120.650911
06,051,Mono,California,14202,37.763322,-118.970594
06,053,Monterey,California,415057,36.611722,-121.646162
06,055,Napa,California,136484,38.329075,-122.321646
06,057,Nevada,California,98764,39.219524,-120.916546
06,059,Orange,California,3010232,33.733953,-117.862880
06,061,Placer,California,348432,38.844511,-121.182466
06,063,Plumas,California,20007,39.983857,-120.825847
06,065,Riverside,California,2189641,33.800439,-117.066205
06,067,Sacramento,California,1418788,38.568950,-121.380861
06,069,San Benito,California,55269,36.843404,-121.403859
06,071,San Bernardino,California,2035210,34.190248,-117.357474
06,073,San Diego,California,3095313,32.883260,-117.112994
06,075,San Francisco,California,805235,37.759598,-122.438323
06,077,San Joaquin,California,685306,37.931804,-121.298108
06,079,San Luis Obispo,California,269637,35.342391,-120.667689
06,081,San Mateo,California,718451,37.563950,-122.340991
06,083,Santa Barbara,California,423895,34.639262,-120.092602
06,085,Santa Clara,California,1781642,37.315105,-121.910421
06,087,Santa Cruz,California,262382,36.985171,-121.936728
06,089,Shasta,California,177223,40.580269,-122.299961
06,091,Sierra,California,3240,39.612588,-120.414236
06,093,Siskiyou,California,44900,41.576203,-122.489833
06,095,Solano,California,413344,38.235582,-122.069324
06,097,Sonoma,California,483878,38.414080,-122.720522
06,099,Stanislaus,California,514453,37.619147,-120.955577
06,101,Sutter,California,94737,39.135490,-121.644269
06,103,Tehama,California,63463,40.115187,-122.218704
06,105,Trinity,California,13786,40.681268,-123.072357
06,107,Tulare,California,442179,36.251227,-119.231547
06,109,Tuolumne,California,55365,37.971531,-120.328530
06,111,Ventura,California,823318,34.241989,-119.025018
06,113,Yolo,California,200849,38.598913,-121.721112
06,115,Yuba,California,72155,39.138830,-121.506626
